Address,Current_Assesed_Value,Sale_Amount,Sale_Date,
137 NICHOLS ST,24840,145000,02/08/2017,
157 CENTRAL AVE,85850,NA,NA,
74 LAFAYETTE ST,94200,NA,NA,
80 LAFAYETTE ST,107680,NA,NA,
124 RUSSELL ST,25300,NA,NA,
134 NICHOLS ST,125030,NA,NA,
138 NICHOLS ST,109560,NA,NA,
126 WOOD ST,115800,NA,NA,
101 NICHOLS ST,25700,NA,NA,
95 NICHOLS ST,105060,NA,NA,
78 CENTRAL AVE,19200,102500,01/24/2020,**
154 WOOD ST,160100,NA,NA,
84 BARDWELL ST,89280,124000,09/13/2005,
36 MOUNTAIN AVE,143800,NA,NA,
128 NICHOLS ST,122100,150000,06/23/2004,
65 FRANKLIN ST,96250,125000,05/15/2006,
64 CENTRAL AVE,104200,210000,10/13/2021,
90 BARDWELL ST,199620,208550,11/14/2016,
154 RUSSELL,123200,NA,NA,
130 WOOD ST,32320,NA,NA,
211 COLLEGE ST,27800,NA,NA,
136 CENTRAL AVE,17000000,NA,NA,
280 COLLEGE ST,8000000,NA,NA,
23 RUSSELL ST,11100,7000,07/01/2003,
66 VALE ST,146520,180000,08/17/2018,
257 COLLEGE ST,11142500,NA,NA,
165 CENTRAL AVE,20400,NA,NA,
60 STRAWBERRY AVE,117420,103000,06/29/2021,
129 WOOD ST,25320,NA,NA,
30 VALE ST,28800,NA,NA,
215 COLLEGE ST,203000,NA,NA,
75 FRANKLIN ST,128760,NA,NA,
134 WOOD ST,30900,NA,NA,
99 RUSSELL ST,663000,NA,NA,
65 CAMPUS AVE,643800,NA,NA,
84 FRANKLIN ST,103380,NA,NA,
99 RUSSELL ST,2443800,NA,NA,
147 WOOD ST,32500,NA,NA,
262 COLLEGE ST,30900,NA ,NA,
75 RUSSELL ST,3779700,NA,NA,
257 COLLEGE ST,340000,NA,NA,
257 COLLEGE ST,2207000,NA,NA,
257 COLLEGE ST,1414100,NA,NA,
257 COLLEGE ST,2284100,NA,NA,
257 COLLEGE ST,11202300,NA,NA,
257 COLLEGE ST,629600,NA,NA,
257 COLLEGE ST,8329600,NA,NA,
257 COLLEGE ST,1177200,NA,NA,
257 COLLEGE ST,1383800,NA,NA,
257 COLLEGE ST,1396500,NA,NA,
257 COLLEGE ST,2251400,NA,NA,
257 COLLEGE ST,689000,NA,NA,
96 CAMPUS AVE,1716000,1950000,09/20/2021,
52 CAMPUS AVE,1079900,NA,NA,
52 CAMPUS AVE,505800,NA,NA,
52 CAMPUS AVE,821800,NA,NA,
52 CAMPUS AVE,1052900,NA,NA,
137 RUSSELL ST,2316900,NA,NA,
256 COLLEGE ST,219500,NA,NA,
86 RUSSELL ST,26000,NA,NA,
50 VALE ST,16200,70000,11/02/2012,
32 WARE ST,131520,220000,09/24/2010,
52 WARE ST,322640,480000,07/02/2012,
348 COLLEGE ST,18960,480000,07/02/2012,
107 NICHOLS ST,129700,140000,05/15/2015,
19 FRYE ST,245000,NA,NA,
350 COLLEGE ST,88100,NA,NA,
68 CENTRAL AVE,86400,95619,04/16/2009,
129 NICHOLS ST,104030,NA,NA,
55 WARE ST,191580,NA,NA,
203 COLLEGE ST,29250,NA,NA,
94 NICHOLS ST,26100,NA,NA,
72 RUSSELL ST,69180,NA,NA,
108 NICHOLS ST,108410,NA,NA,
352 COLLEGE ST,126180,NA,NA,
356 COLLEGE ST,98250,NA,NA,
128 RUSSELL ST,35280,NA,NA,
11 BENSON ST,126360,22500,06/13/2006,
68 RUSSELL ST,127400,NA,NA,
85 FRANKLIN ST,108260,NA,NA,
3 BENSON ST,109430,NA,NA,
146 WOOD ST,187800,NA,NA,
40 MOUNTAIN AVE,280960,NA,NA,
116 WOOD ST,39000,NA,NA,
34 VALE ST,17200,75000,04/01/2005,
193 COLLEGE ST,24800,NA,NA,
80 RUSSELL ST,87240,NA,NA,
220 COLLEGE ST,158400,NA,NA,
